symbol,entry_time,exit_time,entry_price,exit_price,pnl,trade_type,exit_reason
WIPRO,2024-08-15 10:10:00,2024-08-16 10:05:00,495.7,506.95,11.25,long,take_profit
SBILIFE,2024-08-16 10:10:00,2024-08-16 11:05:00,1673.35,1678.95,-5.600000000000136,short,stop_loss
ADANIPORTS,2024-08-16 11:10:00,2024-08-16 11:30:00,1457.35,1463.25,-5.900000000000091,short,stop_loss
ICICIBANK,2024-08-16 11:35:00,2024-08-16 12:05:00,1180.1,1185.0,4.900000000000091,long,take_profit
AXISBANK,2024-08-16 12:10:00,2024-08-16 12:15:00,1162.65,1160.7,-1.9500000000000455,long,stop_loss
HDFCLIFE,2024-08-16 12:20:00,2024-08-16 12:30:00,687.25,685.15,-2.1000000000000227,long,stop_loss
NESTLEIND,2024-08-16 12:35:00,2024-08-16 14:25:00,2502.0,2516.4,14.400000000000091,long,take_profit
HCLTECH,2024-08-16 14:30:00,2024-08-16 15:25:00,1668.55,1669.35,0.7999999999999545,long,market_close
AXISBANK,2024-08-19 10:05:00,2024-08-19 12:30:00,1159.0,1154.2,4.7999999999999545,short,take_profit
ICICIBANK,2024-08-19 12:35:00,2024-08-19 13:20:00,1178.15,1179.85,-1.699999999999818,short,stop_loss
NESTLEIND,2024-08-19 13:25:00,2024-08-19 13:30:00,2523.05,2518.4,-4.650000000000091,long,stop_loss
ICICIBANK,2024-08-19 13:35:00,2024-08-19 15:05:00,1177.8,1174.3,3.5,short,take_profit
INDUSINDBK,2024-08-19 15:10:00,2024-08-19 15:20:00,1347.0,1349.05,-2.0499999999999545,short,stop_loss
INDUSINDBK,2024-08-19 15:25:00,2024-08-19 15:25:00,1350.3,1350.3,0.0,short,market_close
BAJAJ-AUTO,2024-08-20 09:15:00,2024-08-20 09:20:00,9772.0,9829.95,-57.95000000000073,short,stop_loss
DIVISLAB,2024-08-20 09:25:00,2024-08-20 10:50:00,4694.95,4683.0,-11.949999999999818,long,stop_loss
TATASTEEL,2024-08-20 10:55:00,2024-08-20 12:20:00,152.99,153.37,-0.37999999999999545,short,stop_loss
TECHM,2024-08-20 12:25:00,2024-08-20 13:50:00,1617.2,1625.55,8.349999999999909,long,take_profit
