symbol,entry_time,exit_time,entry_price,exit_price,pnl,trade_type,exit_reason,total_capital,tradable_ammount,quantity_bought,trade_ammount,absolute_profit,exit_ammount,charges,net_profit
INFY,2024-07-02 10:30:00,2024-07-02 12:30:00,1617.0,1632.45,10.710000000000036,long,take_profit,10000.0,5000,15.0,4851.0,160.65000000000055,5011.650000000001,26.786528999999998,133.86347100000054
TATACONSUM,2024-07-03 13:15:00,2024-07-03 13:25:00,1130.05,1126.56,-3.490000000000009,long,stop_loss,10133.863471,5000,22.0,4972.219999999999,-76.7800000000002,4895.439999999999,27.4487048,-104.2287048000002
TATACONSUM,2024-07-03 13:30:00,2024-07-03 15:25:00,1129.66,1132.92,3.259999999999991,long,market_close,10029.6347662,5000,22.0,4970.504,71.7199999999998,5042.224,27.437524399999997,44.2824755999998
CIPLA,2024-07-05 10:30:00,2024-07-05 10:55:00,1511.4,1506.72,-4.680000000000064,long,stop_loss,10073.9172418,5000,16.0,4836.4800000000005,-74.88000000000102,4761.599999999999,26.699481600000002,-101.57948160000102
ONGC,2024-07-08 11:55:00,2024-07-08 12:05:00,295.4,294.24,-1.1599999999999682,long,stop_loss,9972.337760199998,5000,84.0,4962.719999999999,-97.43999999999733,4865.2800000000025,27.423026399999998,-124.86302639999732
ONGC,2024-07-08 12:30:00,2024-07-08 14:15:00,294.45,298.0,2.920000000000016,long,take_profit,9847.474733800002,5000,84.0,4946.76,245.28000000000134,5192.040000000002,27.3690648,217.91093520000135
ONGC,2024-07-08 14:30:00,2024-07-08 15:00:00,300.95,299.72,-1.2299999999999613,long,stop_loss,10065.385669000003,5000,83.0,4995.7699999999995,-102.08999999999679,4893.680000000003,27.6114938,-129.7014937999968
HEROMOTOCO,2024-07-09 10:40:00,2024-07-09 10:45:00,5593.4,5574.54,-18.859999999999673,long,stop_loss,9935.684175200005,5000,4.0,4474.719999999999,-75.43999999999869,4399.280000000001,24.7105144,-100.15051439999868
HEROMOTOCO,2024-07-09 10:50:00,2024-07-09 11:20:00,5546.4,5525.57,-20.829999999999927,long,stop_loss,9835.533660800007,5000,4.0,4437.12,-83.31999999999971,4353.8,24.5141424,-107.8341423999997
DIVISLAB,2024-07-10 11:25:00,2024-07-10 12:10:00,4588.2,4618.8,29.48999999999978,long,take_profit,9727.699518400008,5000,5.0,4588.2,147.4499999999989,4735.649999999999,25.332416999999996,122.11758299999892
POWERGRID,2024-07-10 12:15:00,2024-07-10 13:00:00,346.35,345.23,-1.1200000000000045,long,stop_loss,9849.817101400007,5000,72.0,4987.4400000000005,-80.64000000000033,4906.8,27.5373648,-108.17736480000033
ASIANPAINT,2024-07-10 14:35:00,2024-07-10 14:55:00,3006.4,2992.97,-13.430000000000291,long,stop_loss,9741.639736600007,5000,8.0,4810.24,-107.44000000000233,4702.799999999997,26.5981408,-134.03814080000234
COALINDIA,2024-07-11 11:15:00,2024-07-11 12:15:00,505.45,503.6,-1.849999999999966,long,stop_loss,9607.601595800004,5000,49.0,4953.41,-90.64999999999833,4862.760000000001,27.363412999999998,-118.01341299999832
ONGC,2024-07-12 10:45:00,2024-07-12 10:55:00,310.85,309.62,-1.2300000000000182,long,stop_loss,9489.588182800006,5000,80.0,4973.6,-98.40000000000146,4875.199999999999,27.484160000000003,-125.88416000000146
TECHM,2024-07-12 11:00:00,2024-07-12 14:45:00,1500.3,1507.8,10.059999999999945,long,take_profit,9363.704022800004,5000,16.0,4800.96,160.95999999999913,4961.919999999999,26.5115136,134.44848639999913
BAJAJ-AUTO,2024-07-15 10:35:00,2024-07-15 11:40:00,9531.0,9639.95,65.79000000000087,long,take_profit,9498.152509200003,5000,2.0,3812.4,131.58000000000175,3943.980000000002,21.055042800000003,110.52495720000175
TATACONSUM,2024-07-16 10:55:00,2024-07-16 13:15:00,1154.01,1162.55,7.069999999999936,long,take_profit,9608.677466400004,5000,21.0,4846.842,148.46999999999866,4995.311999999998,26.755621199999997,121.71437879999867
BAJAJFINSV,2024-07-18 10:30:00,2024-07-18 13:15:00,1628.75,1640.8,12.079999999999927,long,take_profit,9730.391845200003,5000,15.0,4886.25,181.1999999999989,5067.449999999999,26.993966999999998,154.2060329999989
WIPRO,2024-07-18 13:40:00,2024-07-18 14:35:00,571.4,569.6,-1.7999999999999545,long,stop_loss,9884.597878200002,5000,43.0,4914.04,-77.39999999999804,4836.640000000002,27.129104199999997,-104.52910419999805
BPCL,2024-07-19 12:30:00,2024-07-22 10:05:00,308.85,311.2,1.8799999999999955,long,take_profit,9780.068774000005,5000,80.0,4941.6,150.39999999999964,5092.0,27.278064000000004,123.12193599999964
M&M,2024-07-22 10:30:00,2024-07-22 15:25:00,2806.35,2804.75,-1.599999999999909,long,market_close,9903.190710000004,5000,8.0,4490.16,-12.799999999999272,4477.360000000001,24.822758399999998,-37.62275839999927
ADANIPORTS,2024-07-23 11:20:00,2024-07-23 11:40:00,1487.8,1482.29,-5.509999999999991,long,stop_loss,9865.567951600005,5000,16.0,4760.96,-88.15999999999985,4672.8,26.301545599999997,-114.46154559999985
TATACONSUM,2024-07-23 11:45:00,2024-07-23 13:05:00,1219.84,1229.22,10.190000000000055,long,take_profit,9751.106406000006,5000,20.0,4879.36,203.8000000000011,5083.160000000001,26.970988,176.8290120000011
