symbol,entry_time,exit_time,entry_price,exit_price,pnl,trade_type,exit_reason,,total amnt,tradable ammount,quantity bought,trade amount,absolute profit,exit amnt,charges
JSWSTEEL,02-07-2024 09:20,02-07-2024 10:00,940.45,944.25,3.7999999999999545,long,take_profit,,10000,5000,26,4890.34,98.8,4989.14,26.962078
TATASTEEL,02-07-2024 10:20,02-07-2024 12:35,174.8,174.1,-0.7,long,stop_loss,,10071.83792,5000,143,4999.28,-100.1,4899.18,27.429974
HDFCBANK,02-07-2024 13:25,02-07-2024 13:35,1734.2,1729.55,-4.65,long,stop_loss,,9944.307948,5000,14,4855.76,-65.1,4790.66,26.663714
SUNPHARMA,02-07-2024 13:40,02-07-2024 15:00,1529.5,1524.85,-4.65,long,stop_loss,,9852.544234,5000,16,4894.4,-74.4,4820,26.870096
TCS,02-07-2024 15:05,03-07-2024 09:20,4015.7,4000.05,-15.65,long,stop_loss,,9751.274138,5000,6,4818.84,-93.9,4724.94,26.441646
RELIANCE,03-07-2024 09:25,03-07-2024 09:40,3145,3132,-13,long,stop_loss,,9630.932492,5000,7,4403,-91,4312,24.15644
UPL,03-07-2024 09:45,03-07-2024 12:25,570.75,575,4.25,long,take_profit,,9515.776052,5000,43,4908.45,182.75,5091.2,27.11709
COALINDIA,03-07-2024 12:30,03-07-2024 15:25,483.2,485.5,2.3000000000000114,long,take_profit,,9671.408962,5000,51,4928.64,117.3,5045.94,27.184938
JSWSTEEL,04-07-2024 09:15,04-07-2024 09:20,950.95,955.5,4.5499999999999545,long,take_profit,,9761.524024,5000,26,4944.94,118.3,5063.24,27.275248
TCS,04-07-2024 09:25,04-07-2024 09:45,4004.6,4023,18.40000000000009,long,take_profit,,9852.548776,5000,6,4805.52,110.4,4915.92,26.503224
KOTAKBANK,04-07-2024 09:50,04-07-2024 11:20,1828,1819.85,-8.15,long,stop_loss,,9936.445552,5000,13,4752.8,-105.95,4646.85,26.070473
APOLLOHOSP,04-07-2024 11:25,04-07-2024 11:40,6233.45,6218.25,-15.2,long,stop_loss,,9804.425079,5000,4,4986.76,-60.8,4925.96,27.387052
